TÉRREO,ESTACIONAMENTO LD ESQUERDO,172.20.2.48
TÉRREO,ESTACIONAMENTO LD DIREITO,172.20.2.49
TÉRREO,LATERAL,172.20.2.51
TÉRREO,PÁTIO,172.20.2.52
TÉRREO,ENTRADA,172.20.2.53
TÉRREO,ENTRADA LATERAL,172.20.2.54
TÉRREO,PORTA DA ESCADA,172.20.2.57
5º ANDAR,TERRAÇO,172.20.2.123
5º ANDAR,SALA ACADEMICA,172.20.2.124
5º ANDAR,BEBEDOURO,172.20.2.125
5º ANDAR,CORREDOR DO ELEVADOR,172.20.2.126
5º ANDAR,ELEVADORES,172.20.2.127
4º ANDAR,CORREDOR,172.20.2.130
4º ANDAR,ELEVADOR / BANHEIRO,172.20.2.131
4º ANDAR,CORREDOR  DA ESCADA,172.20.2.132
4º ANDAR,CHÃO,172.20.2.133
3º ANDAR,CORREDOR DAS SALAS,172.20.2.134
3º ANDAR,BEBEDOURO,172.20.2.135
2 º ANDAR,SECRETARIA,172.20.2.138
2 º ANDAR,CORREDOR DA SALAS DE AULA,172.20.2.139
2º ANDAR,ELEVADOR ,172.20.2.141
2º ANDAR,CORREDOR DIREITO,172.20.2.143
